year,month,day,hour,pm2.5,DEWP,TEMP,PRES,cbwd,Iws,Is,Ir
2010,6,21,21,79.0,18.0,27.0,1001.0,cv,3.58,0.0,0.0
2012,8,2,21,33.0,23.0,24.0,1009.0,SE,0.89,0.0,0.0
2014,7,13,2,30.0,15.0,25.0,1002.0,NE,3.13,0.0,0.0
2010,1,7,3,37.0,-23.0,-15.0,1036.0,NW,4.02,0.0,0.0
2012,3,28,7,78.0,-4.0,8.0,1027.0,SE,1.79,0.0,0.0
2012,2,5,19,128.0,-12.0,-2.0,1018.0,SE,13.85,0.0,0.0
2013,9,13,2,69.0,16.0,19.0,1008.0,SE,1.79,0.0,0.0
2014,10,15,5,110.0,4.0,5.0,1013.0,cv,2.67,0.0,0.0
2012,4,6,4,24.0,-5.0,8.0,1017.0,SE,0.89,0.0,0.0
2011,2,24,8,119.0,-8.0,3.0,1022.0,NW,48.27,0.0,0.0
2010,12,10,16,19.0,-18.0,2.0,1014.0,NW,119.81,0.0,0.0
2014,7,10,23,42.0,16.0,29.0,999.0,SE,48.74,0.0,0.0
2012,9,18,13,23.0,6.0,29.0,1009.0,cv,1.78,0.0,0.0
2012,10,4,21,16.0,4.0,20.0,1015.0,SE,3.13,0.0,0.0
2011,11,30,7,163.0,-9.0,-5.0,1038.0,NW,7.6,0.0,0.0
2013,2,19,13,30.0,-26.0,1.0,1030.0,SE,3.13,0.0,0.0
2011,1,21,8,31.0,-21.0,-10.0,1029.0,NE,4.02,0.0,0.0
2013,3,13,14,14.0,-18.0,8.0,1029.0,cv,0.89,0.0,0.0
2013,5,24,23,35.0,13.0,20.0,1013.0,cv,1.78,0.0,0.0
2014,9,2,2,59.0,20.0,20.0,1011.0,cv,2.67,0.0,2.0
2010,6,19,12,74.0,18.0,29.0,1004.0,SE,1.79,0.0,0.0
2011,10,14,1,23.0,5.0,16.0,1012.0,NW,8.04,0.0,0.0
2011,9,8,4,14.0,18.0,20.0,1010.0,NW,16.09,0.0,0.0
2011,7,3,6,220.0,23.0,24.0,1002.0,NW,4.92,0.0,0.0
2014,5,15,11,45.0,0.0,25.0,1001.0,NE,5.37,0.0,0.0
2014,2,19,12,38.0,-17.0,4.0,1029.0,NE,1.79,0.0,0.0
2012,11,11,22,11.0,-12.0,3.0,1019.0,NW,266.84,0.0,0.0
2012,8,26,2,140.0,18.0,21.0,1011.0,SE,1.79,0.0,0.0
2013,3,5,1,98.0,-12.0,4.0,1021.0,SE,36.21,0.0,0.0
2012,1,28,18,96.0,-9.0,-4.0,1030.0,cv,4.9,0.0,0.0
2012,11,16,14,182.0,1.0,8.0,1020.0,cv,3.57,0.0,0.0
2012,3,31,23,52.0,-8.0,6.0,1019.0,SE,33.97,0.0,0.0
2012,5,1,7,227.0,13.0,15.0,1012.0,NW,9.83,0.0,0.0
2013,8,23,19,19.0,17.0,27.0,1007.0,cv,1.78,0.0,0.0
2014,6,20,13,12.0,17.0,26.0,1007.0,SE,3.13,0.0,0.0
2014,9,19,18,53.0,15.0,23.0,1010.0,NE,3.13,0.0,0.0
2013,2,28,17,17.0,-19.0,5.0,1018.0,NW,71.53,0.0,0.0
2012,8,31,23,188.0,23.0,27.0,1011.0,SE,4.92,0.0,0.0
2013,11,27,14,10.0,-28.0,0.0,1027.0,NW,248.98,0.0,0.0
2011,3,10,17,14.0,-15.0,16.0,1018.0,NW,29.06,0.0,0.0
2010,4,18,17,268.0,6.0,20.0,1009.0,SE,9.39,0.0,0.0
2014,7,10,9,28.0,14.0,31.0,1001.0,NW,12.52,0.0,0.0
2010,7,2,21,35.0,17.0,29.0,1000.0,SE,12.07,0.0,0.0
2011,4,4,7,241.0,-6.0,6.0,1025.0,NW,5.35,0.0,0.0
2013,12,28,16,14.0,-26.0,2.0,1025.0,NW,114.87,0.0,0.0
2012,8,22,21,29.0,13.0,20.0,1015.0,SE,28.16,0.0,0.0
2010,3,9,16,21.0,-23.0,1.0,1031.0,NW,154.65,0.0,0.0
2011,8,31,4,204.0,22.0,23.0,1006.0,SE,0.89,0.0,0.0
2013,10,16,1,59.0,0.0,3.0,1027.0,NW,1.79,0.0,0.0
2010,12,4,21,281.0,-7.0,-2.0,1011.0,cv,2.23,0.0,0.0
2011,3,30,7,87.0,-5.0,7.0,1023.0,cv,0.89,0.0,0.0
2012,5,3,19,26.0,8.0,27.0,1005.0,SE,13.41,0.0,0.0
2013,2,21,12,200.0,-5.0,0.0,1029.0,SE,3.58,0.0,0.0
2012,1,23,2,972.0,-24.0,-12.0,1032.0,NW,8.05,0.0,0.0
2010,6,1,11,107.0,14.0,23.0,1016.0,SE,1.79,0.0,0.0
2013,7,24,7,72.0,20.0,25.0,1000.0,NW,11.61,0.0,0.0
2011,10,11,16,132.0,11.0,21.0,1021.0,SE,9.84,0.0,0.0
2013,8,14,9,42.0,22.0,29.0,1005.0,cv,0.89,0.0,0.0
2014,5,21,10,85.0,13.0,24.0,1007.0,cv,0.89,0.0,0.0
2011,1,22,5,44.0,-19.0,-10.0,1028.0,NW,6.26,0.0,0.0
2013,12,2,2,202.0,-9.0,-3.0,1020.0,NW,3.58,0.0,0.0
2010,6,3,5,94.0,13.0,16.0,1018.0,SE,8.93,0.0,0.0
2011,11,8,15,11.0,0.0,16.0,1026.0,SE,3.13,0.0,0.0
2010,9,1,10,44.0,19.0,23.0,1015.0,NW,11.18,0.0,0.0
2013,1,27,14,322.0,-5.0,-2.0,1027.0,cv,0.89,0.0,0.0
2013,6,14,2,70.0,11.0,22.0,1008.0,SE,17.88,0.0,0.0
2012,5,7,5,98.0,8.0,14.0,1005.0,NW,1.79,0.0,0.0
2011,9,9,6,5.0,13.0,14.0,1019.0,NW,12.07,0.0,0.0
2013,6,20,22,146.0,17.0,27.0,1009.0,SE,4.92,0.0,0.0
2011,11,20,17,48.0,-9.0,4.0,1029.0,SE,12.97,0.0,0.0
2013,9,2,23,80.0,17.0,21.0,1016.0,SE,17.44,0.0,0.0
2013,8,20,4,76.0,19.0,24.0,1009.0,SE,3.13,0.0,0.0
2013,1,21,0,161.0,-4.0,-3.0,1030.0,NE,1.79,0.0,0.0
2014,1,20,18,9.0,-24.0,1.0,1032.0,NW,250.32,0.0,0.0
2012,10,25,2,202.0,7.0,7.0,1015.0,cv,1.78,0.0,0.0
2014,6,25,8,86.0,18.0,25.0,1003.0,SE,3.58,0.0,0.0
2013,3,21,17,198.0,-1.0,8.0,1005.0,NW,3.13,0.0,0.0
2010,12,25,14,26.0,-22.0,-4.0,1025.0,NE,4.02,0.0,0.0
2013,1,11,9,391.0,-6.0,-5.0,1025.0,NE,0.89,1.0,0.0
2014,2,9,16,10.0,-22.0,-1.0,1034.0,cv,0.89,0.0,0.0
2010,5,2,7,132.0,10.0,17.0,1002.0,NW,1.79,0.0,0.0
2012,4,18,18,219.0,12.0,20.0,1007.0,NW,4.92,0.0,0.0
2010,9,9,14,204.0,17.0,26.0,1010.0,SE,7.15,0.0,0.0
2013,3,22,3,94.0,-7.0,3.0,1015.0,NW,4.02,0.0,0.0
2014,10,18,21,315.0,11.0,13.0,1016.0,SE,1.78,0.0,0.0
2011,11,9,23,79.0,0.0,4.0,1023.0,SE,0.89,0.0,0.0
2010,4,6,12,15.0,-14.0,13.0,1026.0,cv,1.79,0.0,0.0
2014,11,23,2,116.0,0.0,2.0,1026.0,cv,0.45,0.0,0.0
2013,2,2,7,17.0,-16.0,-11.0,1034.0,NW,14.31,0.0,0.0
2010,2,6,9,65.0,-12.0,-6.0,1033.0,SE,1.79,1.0,0.0
2010,2,8,7,166.0,-6.0,-4.0,1020.0,NW,4.92,0.0,0.0
2010,2,12,15,13.0,-23.0,-1.0,1032.0,cv,1.79,0.0,0.0
2012,9,18,18,16.0,9.0,24.0,1007.0,SE,1.79,0.0,0.0
2013,2,14,7,11.0,-14.0,-1.0,1026.0,NE,33.97,0.0,0.0
2014,7,27,12,133.0,18.0,34.0,1009.0,SE,3.13,0.0,0.0
2014,7,13,16,9.0,14.0,31.0,1001.0,NW,11.18,0.0,1.0
2014,2,26,9,526.0,-2.0,4.0,1023.0,NW,2.67,0.0,0.0
2010,1,18,5,361.0,-13.0,-11.0,1027.0,NE,1.79,0.0,0.0
2011,6,21,1,183.0,17.0,27.0,1003.0,SE,37.11,0.0,0.0
2014,9,3,18,12.0,13.0,28.0,1006.0,SE,14.75,0.0,0.0
2012,7,3,18,24.0,15.0,33.0,995.0,SE,8.05,0.0,0.0
2011,2,25,22,62.0,-11.0,2.0,1030.0,SE,33.08,0.0,0.0
2010,5,17,14,79.0,15.0,19.0,1009.0,SE,16.55,0.0,0.0
2013,11,30,1,109.0,-13.0,1.0,1017.0,cv,2.67,0.0,0.0
2010,5,27,15,96.0,15.0,21.0,1015.0,NW,4.92,0.0,4.0
2014,1,23,5,321.0,-16.0,-8.0,1019.0,cv,0.45,0.0,0.0
2011,7,26,8,25.0,23.0,26.0,1001.0,NW,3.13,0.0,0.0
2010,3,13,16,58.0,-9.0,8.0,1024.0,SE,33.96,0.0,0.0
2010,2,4,17,80.0,-22.0,0.0,1024.0,NE,8.5,0.0,0.0
2012,10,27,19,20.0,-5.0,17.0,1019.0,NW,53.64,0.0,0.0
2013,6,5,0,76.0,18.0,19.0,1012.0,NW,8.05,0.0,3.0
2014,2,17,13,75.0,-18.0,5.0,1035.0,SE,12.07,0.0,0.0
2010,11,11,14,16.0,-2.0,9.0,1010.0,NW,74.62,0.0,0.0
2010,10,23,6,164.0,10.0,11.0,1019.0,NW,3.58,0.0,2.0
2014,7,9,13,9.0,13.0,31.0,1004.0,NE,1.79,0.0,0.0
2010,8,6,20,27.0,17.0,25.0,1014.0,SE,24.15,0.0,0.0
2012,1,12,16,160.0,-15.0,4.0,1022.0,SE,8.05,0.0,0.0
2013,11,26,1,61.0,-13.0,-3.0,1017.0,cv,4.9,0.0,0.0
2010,7,30,1,230.0,25.0,27.0,998.0,SE,12.96,0.0,0.0
2010,1,29,20,24.0,-20.0,3.0,1020.0,NW,93.87,0.0,0.0
2011,2,10,17,79.0,-4.0,-3.0,1027.0,SE,87.19,19.0,0.0
2010,9,6,21,232.0,22.0,25.0,1011.0,cv,0.89,0.0,0.0
2010,10,3,23,7.0,4.0,14.0,1018.0,NW,278.5,0.0,0.0
2011,8,22,13,117.0,19.0,30.0,1011.0,cv,5.36,0.0,0.0
2013,11,21,14,61.0,-12.0,12.0,1024.0,NW,3.58,0.0,0.0
2011,4,19,20,93.0,-1.0,19.0,1012.0,SE,50.08,0.0,0.0
2011,3,27,16,21.0,-13.0,18.0,1020.0,SE,3.13,0.0,0.0
2012,11,14,11,31.0,-16.0,4.0,1026.0,NE,12.96,0.0,0.0
2012,3,15,20,165.0,-1.0,8.0,1019.0,cv,0.89,0.0,1.0
2011,3,5,3,62.0,-7.0,5.0,1017.0,SE,47.38,0.0,0.0
2012,3,7,13,20.0,-14.0,9.0,1021.0,NW,44.26,0.0,0.0
2014,1,3,8,43.0,-12.0,-1.0,1023.0,NW,7.15,0.0,0.0
2012,3,13,8,180.0,-10.0,-1.0,1022.0,cv,0.89,0.0,0.0
2014,6,28,21,21.0,15.0,29.0,1005.0,cv,2.68,0.0,0.0
2013,7,24,22,40.0,18.0,27.0,1000.0,NW,1.79,0.0,0.0
2011,11,17,7,113.0,6.0,6.0,1023.0,NW,8.94,0.0,7.0
2011,5,25,9,80.0,12.0,24.0,1014.0,SE,193.12,0.0,0.0
2013,8,23,22,43.0,17.0,23.0,1009.0,cv,4.01,0.0,0.0
2013,2,25,7,176.0,-4.0,1.0,1028.0,SE,3.13,0.0,0.0
2013,7,28,0,171.0,22.0,24.0,999.0,NE,0.89,0.0,0.0
2012,9,15,23,52.0,13.0,15.0,1021.0,cv,0.89,0.0,0.0
2012,7,9,4,95.0,23.0,24.0,1002.0,cv,0.89,0.0,8.0
2011,10,30,17,211.0,9.0,12.0,1021.0,SE,15.21,0.0,0.0
2011,7,3,11,47.0,16.0,31.0,1002.0,NE,4.02,0.0,0.0
2013,9,27,7,137.0,8.0,10.0,1013.0,NE,0.89,0.0,0.0
2013,5,30,18,52.0,-1.0,33.0,1002.0,SE,48.73,0.0,0.0
2014,6,5,4,84.0,16.0,21.0,1005.0,SE,8.5,0.0,0.0
2012,11,10,10,108.0,5.0,7.0,1023.0,NE,1.79,0.0,3.0
2014,1,11,19,244.0,-19.0,2.0,1029.0,SE,14.3,0.0,0.0
2010,1,9,5,155.0,-19.0,-16.0,1027.0,NW,13.86,0.0,0.0
2011,9,23,21,179.0,13.0,18.0,1014.0,SE,4.92,0.0,0.0
2013,10,3,2,60.0,7.0,10.0,1018.0,NE,5.37,0.0,0.0
2010,10,1,11,266.0,13.0,20.0,1019.0,cv,0.89,0.0,0.0
2012,12,31,21,113.0,-14.0,-9.0,1018.0,NW,1.79,0.0,0.0
2011,2,16,13,292.0,-8.0,1.0,1021.0,cv,1.79,0.0,0.0
2011,1,8,10,16.0,-17.0,-3.0,1028.0,NW,34.87,0.0,0.0
2010,5,18,2,94.0,13.0,16.0,1005.0,SE,27.27,0.0,0.0
2014,7,15,1,60.0,17.0,27.0,1005.0,SE,10.28,0.0,0.0
2011,10,28,7,141.0,2.0,3.0,1025.0,NW,1.79,0.0,0.0
2012,12,3,17,11.0,-18.0,1.0,1023.0,NW,96.56,0.0,0.0
2011,1,2,8,22.0,-18.0,-7.0,1037.0,NE,8.94,0.0,0.0
2010,10,31,23,92.0,2.0,6.0,1024.0,NW,6.71,0.0,0.0
2014,5,28,6,44.0,12.0,18.0,1003.0,cv,0.89,0.0,0.0
2012,9,20,10,102.0,15.0,23.0,1014.0,cv,1.78,0.0,0.0
2013,2,12,3,145.0,-9.0,-4.0,1029.0,NW,3.13,1.0,0.0
2011,11,13,5,7.0,-13.0,5.0,1025.0,NW,35.76,0.0,0.0
2011,5,10,1,26.0,3.0,20.0,1009.0,NW,46.93,0.0,0.0
2012,5,17,11,102.0,8.0,25.0,1008.0,SE,3.13,0.0,0.0
2013,1,4,5,62.0,-22.0,-15.0,1036.0,NW,26.39,0.0,0.0
2011,6,3,17,56.0,6.0,30.0,1003.0,cv,1.79,0.0,0.0
2010,3,29,18,275.0,5.0,8.0,1021.0,NE,0.89,0.0,0.0
2013,6,27,6,64.0,19.0,22.0,998.0,cv,0.89,0.0,0.0
2011,10,19,19,254.0,12.0,13.0,1021.0,cv,0.89,0.0,0.0
2013,10,4,5,67.0,10.0,12.0,1014.0,NE,0.89,0.0,0.0
2013,3,18,13,9.0,-22.0,11.0,1009.0,cv,1.79,0.0,0.0
2010,1,23,8,24.0,-18.0,-6.0,1031.0,NW,25.93,0.0,0.0
2012,12,30,11,17.0,-20.0,-2.0,1026.0,NW,66.15,0.0,0.0
2013,10,24,6,14.0,-10.0,3.0,1027.0,cv,0.89,0.0,0.0
2014,7,24,16,50.0,19.0,29.0,1005.0,SE,1.79,0.0,0.0
2012,2,19,22,64.0,-18.0,-3.0,1021.0,cv,1.78,0.0,0.0
2013,5,6,13,259.0,14.0,29.0,1014.0,cv,1.79,0.0,0.0
2010,10,19,0,42.0,5.0,7.0,1026.0,NW,1.79,0.0,0.0
2010,1,20,23,18.0,-19.0,-5.0,1038.0,NW,65.7,0.0,0.0
2014,12,10,21,13.0,-16.0,0.0,1031.0,NW,99.23,0.0,0.0
2011,5,31,19,24.0,9.0,24.0,1003.0,NW,137.24,0.0,0.0
2011,4,5,1,154.0,-7.0,10.0,1024.0,SE,57.2,0.0,0.0
2012,9,29,3,7.0,-2.0,15.0,1019.0,NW,4.92,0.0,0.0
2014,8,11,17,9.0,11.0,34.0,1002.0,SE,5.37,0.0,0.0
2014,1,27,3,120.0,-10.0,-6.0,1019.0,cv,0.45,0.0,0.0
2012,4,28,18,97.0,-4.0,18.0,1011.0,SE,25.03,0.0,0.0
2011,8,16,6,17.0,21.0,23.0,1003.0,NW,11.17,0.0,0.0
2011,12,23,2,117.0,-14.0,-9.0,1028.0,SE,0.89,0.0,0.0
2010,10,4,5,14.0,5.0,9.0,1019.0,NW,11.62,0.0,0.0
2014,3,7,1,70.0,-12.0,0.0,1029.0,SE,29.95,0.0,0.0
2013,1,21,17,93.0,-7.0,1.0,1028.0,NE,0.89,0.0,0.0
2010,5,23,6,165.0,12.0,16.0,1003.0,cv,0.89,0.0,0.0
2012,4,26,22,163.0,8.0,15.0,997.0,SE,3.58,0.0,0.0
2011,6,19,18,149.0,19.0,31.0,1004.0,SE,16.09,0.0,0.0
2010,4,28,9,15.0,-11.0,10.0,1014.0,NW,281.64,0.0,0.0
2010,3,5,6,16.0,-16.0,-2.0,1026.0,NW,62.58,0.0,0.0
2010,7,3,13,95.0,19.0,36.0,1000.0,SE,3.13,0.0,0.0
2010,10,31,8,47.0,2.0,7.0,1026.0,NW,21.92,0.0,0.0
2010,11,11,11,16.0,-2.0,9.0,1010.0,NW,45.13,0.0,0.0
2012,11,18,17,152.0,-6.0,11.0,1017.0,NW,8.94,0.0,0.0
2013,12,11,1,8.0,-19.0,0.0,1023.0,NW,149.3,0.0,0.0
2011,10,12,20,246.0,13.0,17.0,1015.0,cv,0.89,0.0,0.0
2010,5,15,12,181.0,13.0,26.0,1013.0,cv,4.02,0.0,0.0
2011,12,23,21,15.0,-16.0,1.0,1027.0,NW,7.15,0.0,0.0
2010,10,6,7,144.0,11.0,11.0,1014.0,NW,2.68,0.0,0.0
2011,4,12,6,88.0,-5.0,6.0,1016.0,cv,0.89,0.0,0.0
2014,9,18,23,63.0,10.0,21.0,1017.0,SE,23.26,0.0,0.0
2012,12,18,18,69.0,-16.0,-5.0,1033.0,cv,0.89,0.0,0.0
2013,4,16,21,81.0,-2.0,11.0,1011.0,SE,26.82,0.0,0.0
2010,5,10,0,132.0,-2.0,14.0,1008.0,SE,4.92,0.0,0.0
2014,1,8,9,18.0,-21.0,-5.0,1036.0,NW,3.13,0.0,0.0
2014,11,27,8,11.0,-17.0,6.0,1025.0,NW,12.07,0.0,0.0
2010,8,17,16,118.0,17.0,32.0,1006.0,SE,41.58,0.0,0.0
2013,3,20,23,119.0,-3.0,2.0,1019.0,SE,32.18,0.0,0.0
2011,2,21,7,528.0,-6.0,-4.0,1026.0,NW,1.79,0.0,0.0
2014,1,2,5,149.0,-10.0,-2.0,1020.0,SE,1.79,0.0,0.0
2010,5,27,16,70.0,16.0,20.0,1015.0,NW,8.05,0.0,5.0
2010,11,21,6,287.0,1.0,4.0,1009.0,NW,12.97,0.0,0.0
2013,7,10,7,30.0,21.0,23.0,1005.0,NW,14.76,0.0,0.0
2013,6,17,19,46.0,15.0,28.0,999.0,SE,12.52,0.0,0.0
2012,11,17,6,56.0,-5.0,-1.0,1020.0,cv,1.79,0.0,0.0
2014,5,23,7,102.0,16.0,24.0,1011.0,cv,0.89,0.0,0.0
2011,6,24,18,34.0,15.0,27.0,1009.0,cv,4.92,0.0,0.0
2013,11,18,11,8.0,-19.0,7.0,1028.0,NW,201.18,0.0,0.0
2010,8,28,11,20.0,17.0,28.0,1011.0,NW,29.05,0.0,0.0
2010,1,16,20,235.0,-12.0,-8.0,1032.0,cv,2.23,0.0,0.0
2011,1,25,9,12.0,-22.0,-5.0,1035.0,NW,35.78,0.0,0.0
2014,5,25,22,21.0,7.0,17.0,1006.0,cv,0.89,0.0,0.0
2011,4,10,20,17.0,-19.0,13.0,1021.0,NW,42.01,0.0,0.0
2012,7,1,2,90.0,22.0,24.0,1001.0,SE,39.33,0.0,0.0
2013,3,1,4,4.0,-25.0,-2.0,1030.0,NW,208.3,0.0,0.0
2013,3,9,16,19.0,-22.0,10.0,1015.0,NW,86.27,0.0,0.0
2014,3,19,16,66.0,-4.0,12.0,1022.0,NE,6.26,0.0,0.0
2012,3,29,3,60.0,-1.0,10.0,1015.0,cv,3.56,0.0,1.0
2012,1,8,11,125.0,-7.0,-1.0,1034.0,NW,3.58,0.0,0.0
2013,1,25,6,64.0,-18.0,-11.0,1024.0,NE,4.47,0.0,0.0
2012,3,26,9,129.0,-5.0,8.0,1021.0,cv,0.89,0.0,0.0
2010,9,10,2,193.0,16.0,19.0,1009.0,NE,2.68,0.0,0.0
2013,4,10,18,6.0,-14.0,11.0,1016.0,NW,189.53,0.0,0.0
2013,11,4,6,46.0,-4.0,3.0,1030.0,NW,5.37,0.0,0.0
2011,4,26,10,86.0,4.0,18.0,1003.0,cv,7.15,0.0,0.0
2014,6,7,19,8.0,11.0,26.0,1002.0,SE,5.81,0.0,0.0
2011,11,3,22,108.0,9.0,12.0,1025.0,NW,2.68,0.0,0.0
2011,11,13,19,58.0,-4.0,2.0,1026.0,cv,0.89,0.0,0.0
2014,3,6,17,12.0,-30.0,8.0,1027.0,NW,23.69,0.0,0.0
2011,2,25,18,44.0,-12.0,5.0,1030.0,SE,17.89,0.0,0.0
2014,1,26,22,139.0,-8.0,-2.0,1022.0,SE,11.18,0.0,0.0
2012,5,28,14,152.0,15.0,31.0,1011.0,SE,13.86,0.0,0.0
2013,5,16,5,49.0,9.0,13.0,1018.0,cv,2.23,0.0,0.0
2010,11,23,16,208.0,-7.0,7.0,1018.0,cv,0.89,0.0,0.0
2014,4,8,20,146.0,3.0,21.0,1011.0,SE,29.95,0.0,0.0
2010,7,28,16,193.0,23.0,35.0,997.0,SE,12.06,0.0,0.0
2012,2,11,18,29.0,-23.0,2.0,1027.0,SE,0.89,0.0,0.0
2010,4,26,21,11.0,-9.0,8.0,1013.0,NW,42.48,0.0,0.0
2010,5,29,13,28.0,8.0,31.0,1003.0,NW,4.92,0.0,0.0
2012,4,17,8,101.0,3.0,13.0,1012.0,SE,73.75,0.0,0.0
2014,12,4,4,8.0,-22.0,-4.0,1027.0,NW,141.71,0.0,0.0
2014,3,19,11,77.0,-8.0,9.0,1022.0,NW,3.13,0.0,0.0
2010,3,29,23,297.0,6.0,8.0,1022.0,cv,0.89,0.0,4.0
2011,7,27,4,53.0,22.0,23.0,1001.0,NW,1.79,0.0,0.0
2011,10,9,22,485.0,15.0,18.0,1022.0,SE,23.25,0.0,0.0
2010,2,16,8,26.0,-18.0,-11.0,1033.0,NW,9.83,0.0,0.0
2014,4,14,18,224.0,10.0,24.0,1013.0,SE,14.3,0.0,0.0
2012,1,31,22,8.0,-28.0,-8.0,1031.0,NE,74.2,0.0,0.0
2011,5,11,11,99.0,14.0,25.0,1006.0,cv,2.68,0.0,0.0
2012,8,27,1,102.0,22.0,24.0,1010.0,SE,1.79,0.0,0.0
2013,11,22,6,69.0,-8.0,-2.0,1026.0,NW,12.08,0.0,0.0
2014,11,14,15,21.0,-13.0,13.0,1026.0,NE,1.79,0.0,0.0
2012,2,19,7,87.0,-20.0,-11.0,1026.0,NW,6.71,0.0,0.0
2010,4,30,19,37.0,-5.0,22.0,1009.0,SE,12.07,0.0,0.0
2014,7,7,12,132.0,23.0,30.0,1003.0,SE,19.68,0.0,0.0
2013,3,12,9,130.0,2.0,3.0,1013.0,cv,2.23,0.0,6.0
2012,8,7,4,67.0,24.0,24.0,1007.0,NE,0.89,0.0,0.0
2011,10,31,4,257.0,9.0,11.0,1022.0,cv,0.89,0.0,0.0
2010,10,5,8,52.0,11.0,14.0,1016.0,NW,12.97,0.0,0.0
2010,9,12,12,71.0,13.0,31.0,1011.0,cv,0.89,0.0,0.0
2011,12,21,3,30.0,-14.0,-7.0,1028.0,NW,0.89,0.0,0.0
2010,5,10,19,15.0,-1.0,18.0,1008.0,NW,113.97,0.0,0.0
2010,5,6,7,17.0,1.0,15.0,1009.0,NW,18.32,0.0,0.0
2010,8,21,22,13.0,17.0,20.0,1012.0,NE,4.02,0.0,3.0
2010,3,26,8,38.0,-7.0,3.0,1021.0,cv,0.89,0.0,0.0
2013,9,27,6,126.0,8.0,10.0,1013.0,NW,0.89,0.0,0.0
2014,4,4,5,36.0,-4.0,5.0,1016.0,SE,22.8,0.0,0.0
2011,10,31,17,214.0,12.0,14.0,1022.0,NE,0.89,0.0,0.0
2010,10,31,13,60.0,-1.0,18.0,1024.0,NW,36.23,0.0,0.0
2011,10,23,10,291.0,7.0,12.0,1020.0,NW,20.12,0.0,5.0
2011,11,4,14,103.0,6.0,16.0,1021.0,NW,3.58,0.0,0.0
2011,6,15,1,71.0,20.0,22.0,1002.0,SE,1.79,0.0,0.0
2012,4,2,15,55.0,-6.0,11.0,1014.0,SE,14.75,0.0,0.0
2010,8,5,10,23.0,10.0,30.0,1008.0,NW,40.68,0.0,0.0
2014,5,13,18,30.0,-2.0,29.0,997.0,NW,46.94,0.0,0.0
2011,2,16,1,312.0,-9.0,-6.0,1025.0,NW,5.37,0.0,0.0
2011,9,10,13,19.0,13.0,14.0,1024.0,NW,38.0,0.0,11.0
2014,2,28,2,130.0,-6.0,-1.0,1029.0,SE,4.92,0.0,0.0
2014,5,17,0,74.0,6.0,18.0,1013.0,cv,0.89,0.0,0.0
2012,8,27,14,48.0,22.0,29.0,1009.0,SE,7.16,0.0,0.0
2013,7,15,0,78.0,23.0,24.0,1005.0,NE,0.89,0.0,3.0
2012,9,6,19,142.0,16.0,18.0,1016.0,cv,0.89,0.0,1.0
2013,3,15,0,182.0,-3.0,2.0,1024.0,cv,0.89,0.0,0.0
2011,8,14,11,110.0,26.0,28.0,1002.0,SE,3.58,0.0,0.0
2014,7,28,23,89.0,20.0,28.0,1003.0,SE,59.45,0.0,0.0
2013,1,26,14,198.0,-11.0,2.0,1027.0,cv,1.79,0.0,0.0
2010,1,28,15,23.0,-25.0,1.0,1026.0,NW,72.41,0.0,0.0
2010,6,21,1,62.0,15.0,22.0,1006.0,SE,43.37,0.0,0.0
2011,1,19,14,24.0,-22.0,-1.0,1030.0,NW,33.52,0.0,0.0
2013,1,5,21,73.0,-20.0,-9.0,1029.0,NW,8.05,0.0,0.0
2012,6,9,10,178.0,20.0,27.0,999.0,SE,3.58,0.0,0.0
2013,5,26,17,124.0,16.0,21.0,1008.0,SE,20.11,0.0,0.0
2011,8,29,9,146.0,21.0,24.0,1010.0,SE,1.79,0.0,0.0
2014,7,4,22,151.0,22.0,26.0,1007.0,SE,27.71,0.0,0.0
2012,11,29,18,59.0,-14.0,0.0,1023.0,cv,0.89,0.0,0.0
2013,9,6,16,67.0,13.0,26.0,1014.0,SE,11.17,0.0,0.0
2012,3,23,3,40.0,-1.0,4.0,1017.0,SE,61.23,0.0,2.0
2010,1,3,5,83.0,-9.0,-8.0,1024.0,SE,76.88,9.0,0.0
2011,12,6,20,232.0,-2.0,-2.0,1032.0,SE,8.05,0.0,0.0
2012,10,5,2,20.0,9.0,11.0,1016.0,cv,2.67,0.0,0.0
2014,6,8,22,38.0,15.0,18.0,1002.0,cv,1.78,0.0,0.0
2010,11,12,12,92.0,-5.0,-1.0,1016.0,NW,153.3,0.0,0.0
2011,9,23,15,100.0,8.0,26.0,1014.0,SE,15.19,0.0,0.0
2012,6,15,1,11.0,15.0,17.0,1007.0,cv,0.45,0.0,0.0
2012,11,26,0,23.0,-14.0,0.0,1023.0,NW,12.96,0.0,0.0
2011,7,6,10,158.0,22.0,30.0,998.0,cv,0.89,0.0,0.0
2012,4,8,17,66.0,-13.0,25.0,1012.0,NW,95.67,0.0,0.0
2013,3,22,21,63.0,-4.0,4.0,1018.0,SE,55.87,0.0,0.0
2012,1,9,3,146.0,-11.0,-10.0,1033.0,NW,2.67,0.0,0.0
2011,9,28,5,244.0,15.0,16.0,1014.0,cv,0.89,0.0,0.0
2011,11,6,11,36.0,0.0,11.0,1029.0,NE,6.71,0.0,0.0
2014,6,14,11,23.0,17.0,28.0,1007.0,cv,1.79,0.0,0.0
2010,10,17,10,39.0,-4.0,8.0,1030.0,SE,92.52,0.0,0.0
2014,5,6,3,72.0,0.0,10.0,1013.0,SE,8.5,0.0,0.0
2011,5,23,4,78.0,5.0,14.0,1012.0,SE,3.58,0.0,0.0
