x1,x2,operation_x1,operation_x2,operation_between,latex_expression
1.5,8.4,cube,log,add,(1.5)^3 + \log(8.4)
1.7,6.0,log,square,add,\log(1.7) + (6.0)^2
5.9,8.1,cube,tan,div,\frac{(5.9)^3}{\tan(8.1)}
3.0,4.2,cube,none,mul,(3.0)^3 \times 4.2
2.6,5.1,cos,none,sub,\cos(2.6) - 5.1
5.4,6.9,sin,cube,sub,\sin(5.4) - (6.9)^3
1.4,7.2,cos,exp,div,\frac{\cos(1.4)}{\exp(7.2)}
4.3,4.9,none,log,sub,4.3 - \log(4.9)
2.8,3.6,square,tan,add,(2.8)^2 + \tan(3.6)
4.0,8.1,sin,sin,add,\sin(4.0) + \sin(8.1)
3.1,8.8,square,square,add,(3.1)^2 + (8.8)^2
4.5,5.7,none,none,mul,4.5 \times 5.7
2.2,6.7,none,sin,mul,2.2 \times \sin(6.7)
5.1,8.6,exp,none,mul,\exp(5.1) \times 8.6
2.9,5.4,log,none,add,\log(2.9) + 5.4
0.8,7.0,log,none,div,\frac{\log(0.8)}{7.0}
2.1,7.3,sqrt,none,mul,\sqrt{2.1} \times 7.3
4.3,7.2,exp,sin,sub,\exp(4.3) - \sin(7.2)
4.0,6.8,sin,tan,mul,\sin(4.0) \times \tan(6.8)
3.4,7.5,log,none,add,\log(3.4) + 7.5
5.1,5.0,square,exp,sub,(5.1)^2 - \exp(5.0)
5.5,5.0,log,square,add,\log(5.5) + (5.0)^2
2.4,5.1,square,sin,div,\frac{(2.4)^2}{\sin(5.1)}
2.9,7.1,cos,square,sub,\cos(2.9) - (7.1)^2
2.6,3.9,square,sqrt,div,\frac{(2.6)^2}{\sqrt{3.9}}
2.7,6.5,log,exp,mul,\log(2.7) \times \exp(6.5)
3.9,6.6,none,none,add,3.9 + 6.6
0.6,4.3,log,cos,add,\log(0.6) + \cos(4.3)
4.4,7.2,cos,square,add,\cos(4.4) + (7.2)^2
2.4,6.1,none,none,mul,2.4 \times 6.1
3.8,8.2,none,none,add,3.8 + 8.2
4.4,5.9,log,none,sub,\log(4.4) - 5.9
0.2,4.1,cos,cos,sub,\cos(0.2) - \cos(4.1)
1.7,7.1,sin,sqrt,mul,\sin(1.7) \times \sqrt{7.1}
1.5,4.1,log,log,add,\log(1.5) + \log(4.1)
1.3,3.2,tan,log,sub,\tan(1.3) - \log(3.2)
2.5,7.0,log,none,mul,\log(2.5) \times 7.0
2.5,7.1,log,none,mul,\log(2.5) \times 7.1
2.6,3.1,none,tan,add,2.6 + \tan(3.1)
0.5,5.1,none,sin,mul,0.5 \times \sin(5.1)
0.1,7.8,exp,cube,mul,\exp(0.1) \times (7.8)^3
4.8,9.0,sqrt,none,sub,\sqrt{4.8} - 9.0
2.0,8.1,none,tan,mul,2.0 \times \tan(8.1)
1.3,8.8,tan,sqrt,mul,\tan(1.3) \times \sqrt{8.8}
5.3,8.3,log,sin,div,\frac{\log(5.3)}{\sin(8.3)}
3.6,9.0,sqrt,cos,add,\sqrt{3.6} + \cos(9.0)
2.9,9.1,none,sqrt,mul,2.9 \times \sqrt{9.1}
2.5,8.5,exp,tan,add,\exp(2.5) + \tan(8.5)
0.3,7.3,tan,sin,add,\tan(0.3) + \sin(7.3)
3.2,7.0,sqrt,none,add,\sqrt{3.2} + 7.0
2.7,7.0,log,log,mul,\log(2.7) \times \log(7.0)
5.5,7.4,cos,tan,sub,\cos(5.5) - \tan(7.4)
5.5,5.0,cube,sin,mul,(5.5)^3 \times \sin(5.0)
2.5,3.6,square,none,add,(2.5)^2 + 3.6
2.4,5.4,sqrt,cube,div,\frac{\sqrt{2.4}}{(5.4)^3}
1.3,5.0,sin,sqrt,sub,\sin(1.3) - \sqrt{5.0}
4.8,4.4,none,cube,add,4.8 + (4.4)^3
3.1,5.1,cos,exp,sub,\cos(3.1) - \exp(5.1)
3.9,3.1,square,sin,add,(3.9)^2 + \sin(3.1)
6.0,6.0,sqrt,cos,sub,\sqrt{6.0} - \cos(6.0)
1.9,6.9,sqrt,tan,mul,\sqrt{1.9} \times \tan(6.9)
1.9,4.5,tan,log,add,\tan(1.9) + \log(4.5)
4.1,3.1,cube,none,add,(4.1)^3 + 3.1
4.2,6.4,square,cos,mul,(4.2)^2 \times \cos(6.4)
5.1,6.3,cos,exp,add,\cos(5.1) + \exp(6.3)
2.2,6.6,sqrt,none,add,\sqrt{2.2} + 6.6
3.2,9.5,sin,cos,add,\sin(3.2) + \cos(9.5)
4.3,7.1,tan,none,sub,\tan(4.3) - 7.1
3.8,3.5,sqrt,log,div,\frac{\sqrt{3.8}}{\log(3.5)}
3.5,7.6,exp,exp,add,\exp(3.5) + \exp(7.6)
1.9,6.9,sqrt,sqrt,mul,\sqrt{1.9} \times \sqrt{6.9}
5.2,6.6,square,log,mul,(5.2)^2 \times \log(6.6)
3.6,7.1,cube,square,add,(3.6)^3 + (7.1)^2
1.3,6.5,sqrt,log,sub,\sqrt{1.3} - \log(6.5)
2.3,7.8,tan,sqrt,mul,\tan(2.3) \times \sqrt{7.8}
2.9,6.2,cos,none,mul,\cos(2.9) \times 6.2
2.0,3.5,sqrt,cube,mul,\sqrt{2.0} \times (3.5)^3
3.2,7.4,none,sin,mul,3.2 \times \sin(7.4)
2.7,7.2,log,sqrt,mul,\log(2.7) \times \sqrt{7.2}
3.3,6.1,exp,square,add,\exp(3.3) + (6.1)^2
2.7,8.2,cube,sqrt,add,(2.7)^3 + \sqrt{8.2}
2.8,3.7,log,log,mul,\log(2.8) \times \log(3.7)
2.7,3.2,square,cos,mul,(2.7)^2 \times \cos(3.2)
3.5,6.0,cos,square,add,\cos(3.5) + (6.0)^2
2.6,7.6,cube,none,add,(2.6)^3 + 7.6
2.6,4.7,log,none,mul,\log(2.6) \times 4.7
2.5,7.8,cube,sin,div,\frac{(2.5)^3}{\sin(7.8)}
2.9,8.4,none,none,add,2.9 + 8.4
2.4,7.1,square,exp,div,\frac{(2.4)^2}{\exp(7.1)}
4.5,4.1,tan,log,div,\frac{\tan(4.5)}{\log(4.1)}
4.0,3.5,cos,none,sub,\cos(4.0) - 3.5
1.9,7.5,cos,sqrt,mul,\cos(1.9) \times \sqrt{7.5}
4.1,5.3,square,tan,div,\frac{(4.1)^2}{\tan(5.3)}
3.9,3.8,log,none,sub,\log(3.9) - 3.8
1.8,9.5,sin,none,mul,\sin(1.8) \times 9.5
2.9,7.0,log,sqrt,div,\frac{\log(2.9)}{\sqrt{7.0}}
4.2,8.4,cube,tan,mul,(4.2)^3 \times \tan(8.4)
2.9,7.2,log,none,sub,\log(2.9) - 7.2
3.0,7.6,tan,tan,add,\tan(3.0) + \tan(7.6)
0.5,5.7,cos,cos,div,\frac{\cos(0.5)}{\cos(5.7)}
2.3,7.1,log,none,mul,\log(2.3) \times 7.1
2.3,3.6,cube,exp,sub,(2.3)^3 - \exp(3.6)
1.5,8.1,sin,none,sub,\sin(1.5) - 8.1
1.4,9.2,none,none,div,\frac{1.4}{9.2}
3.8,5.2,none,sqrt,add,3.8 + \sqrt{5.2}
2.8,3.1,square,square,mul,(2.8)^2 \times (3.1)^2
2.6,9.4,sqrt,tan,mul,\sqrt{2.6} \times \tan(9.4)
0.2,8.1,none,exp,add,0.2 + \exp(8.1)
3.7,5.7,square,none,add,(3.7)^2 + 5.7
2.2,8.4,sqrt,square,mul,\sqrt{2.2} \times (8.4)^2
1.3,6.9,none,tan,mul,1.3 \times \tan(6.9)
5.8,6.5,sqrt,square,sub,\sqrt{5.8} - (6.5)^2
3.5,3.8,none,cos,div,\frac{3.5}{\cos(3.8)}
0.9,5.9,cube,none,add,(0.9)^3 + 5.9
3.4,4.4,none,cos,mul,3.4 \times \cos(4.4)
2.2,7.7,log,sin,div,\frac{\log(2.2)}{\sin(7.7)}
0.6,3.5,none,none,add,0.6 + 3.5
3.1,7.4,none,sin,add,3.1 + \sin(7.4)
2.0,6.0,log,square,add,\log(2.0) + (6.0)^2
2.1,5.5,cube,cos,mul,(2.1)^3 \times \cos(5.5)
1.5,6.4,square,sqrt,add,(1.5)^2 + \sqrt{6.4}
6.0,5.6,square,square,add,(6.0)^2 + (5.6)^2
3.9,4.3,tan,cos,add,\tan(3.9) + \cos(4.3)
2.0,6.3,sin,none,mul,\sin(2.0) \times 6.3
0.2,6.6,exp,cos,add,\exp(0.2) + \cos(6.6)
3.9,7.7,none,log,sub,3.9 - \log(7.7)
2.4,6.5,none,sqrt,add,2.4 + \sqrt{6.5}
3.6,3.6,log,exp,add,\log(3.6) + \exp(3.6)
4.7,7.9,log,cos,sub,\log(4.7) - \cos(7.9)
3.4,5.2,none,sqrt,sub,3.4 - \sqrt{5.2}
2.7,4.9,square,none,add,(2.7)^2 + 4.9
5.5,4.3,cos,cos,mul,\cos(5.5) \times \cos(4.3)
2.8,8.7,cos,none,add,\cos(2.8) + 8.7
3.6,7.6,sin,sin,sub,\sin(3.6) - \sin(7.6)
5.9,3.8,log,none,mul,\log(5.9) \times 3.8
4.9,8.0,square,sin,add,(4.9)^2 + \sin(8.0)
0.3,8.2,sqrt,exp,mul,\sqrt{0.3} \times \exp(8.2)
2.1,7.5,none,log,mul,2.1 \times \log(7.5)
4.3,6.5,cube,sin,mul,(4.3)^3 \times \sin(6.5)
2.5,5.1,square,cos,sub,(2.5)^2 - \cos(5.1)
4.8,3.5,none,log,div,\frac{4.8}{\log(3.5)}
2.4,7.6,sqrt,none,add,\sqrt{2.4} + 7.6
3.0,7.2,cos,cos,add,\cos(3.0) + \cos(7.2)
3.4,6.9,none,none,add,3.4 + 6.9
3.5,7.1,tan,sqrt,mul,\tan(3.5) \times \sqrt{7.1}
4.6,3.0,log,none,mul,\log(4.6) \times 3.0
0.2,6.7,cube,tan,add,(0.2)^3 + \tan(6.7)
3.3,9.8,square,none,div,\frac{(3.3)^2}{9.8}
4.8,5.0,square,none,mul,(4.8)^2 \times 5.0
2.7,3.0,exp,tan,add,\exp(2.7) + \tan(3.0)
4.0,4.7,sqrt,tan,add,\sqrt{4.0} + \tan(4.7)
3.9,6.9,none,sin,mul,3.9 \times \sin(6.9)
3.2,3.4,log,sqrt,div,\frac{\log(3.2)}{\sqrt{3.4}}
1.0,6.7,log,none,add,\log(1.0) + 6.7
4.3,9.2,sqrt,log,div,\frac{\sqrt{4.3}}{\log(9.2)}
4.9,6.5,exp,log,sub,\exp(4.9) - \log(6.5)
1.9,7.9,sqrt,sqrt,mul,\sqrt{1.9} \times \sqrt{7.9}
2.5,6.3,tan,cos,sub,\tan(2.5) - \cos(6.3)
4.8,8.1,square,square,add,(4.8)^2 + (8.1)^2
1.5,7.8,square,cos,add,(1.5)^2 + \cos(7.8)
3.7,4.6,none,square,add,3.7 + (4.6)^2
3.8,8.0,tan,none,add,\tan(3.8) + 8.0
4.9,6.3,tan,tan,add,\tan(4.9) + \tan(6.3)
4.5,8.4,none,sin,add,4.5 + \sin(8.4)
3.0,5.1,sin,sin,add,\sin(3.0) + \sin(5.1)
3.3,7.7,none,tan,mul,3.3 \times \tan(7.7)
4.4,4.3,square,sqrt,sub,(4.4)^2 - \sqrt{4.3}
4.4,6.8,tan,cos,mul,\tan(4.4) \times \cos(6.8)
3.6,9.1,log,square,sub,\log(3.6) - (9.1)^2
2.0,3.6,log,cube,mul,\log(2.0) \times (3.6)^3
2.5,8.4,square,none,add,(2.5)^2 + 8.4
3.6,7.9,sin,log,sub,\sin(3.6) - \log(7.9)
6.0,6.3,exp,cos,div,\frac{\exp(6.0)}{\cos(6.3)}
0.2,8.0,sin,none,add,\sin(0.2) + 8.0
4.1,9.2,none,tan,mul,4.1 \times \tan(9.2)
3.9,4.6,square,square,add,(3.9)^2 + (4.6)^2
0.1,5.7,sin,cos,sub,\sin(0.1) - \cos(5.7)
1.6,6.2,tan,square,add,\tan(1.6) + (6.2)^2
1.6,3.7,cube,sin,mul,(1.6)^3 \times \sin(3.7)
0.2,5.0,exp,log,add,\exp(0.2) + \log(5.0)
0.3,5.4,none,log,mul,0.3 \times \log(5.4)
2.3,4.8,cube,square,add,(2.3)^3 + (4.8)^2
3.2,3.6,cube,exp,div,\frac{(3.2)^3}{\exp(3.6)}
3.3,3.8,cos,cos,mul,\cos(3.3) \times \cos(3.8)
3.3,6.8,cos,cube,add,\cos(3.3) + (6.8)^3
3.7,5.1,cube,cos,mul,(3.7)^3 \times \cos(5.1)
5.4,6.9,square,tan,add,(5.4)^2 + \tan(6.9)
1.5,9.4,square,cos,mul,(1.5)^2 \times \cos(9.4)
2.2,5.6,exp,none,add,\exp(2.2) + 5.6
2.9,9.5,cos,none,add,\cos(2.9) + 9.5
4.4,5.0,log,cos,mul,\log(4.4) \times \cos(5.0)
1.4,6.3,exp,cos,mul,\exp(1.4) \times \cos(6.3)
4.3,3.4,log,square,add,\log(4.3) + (3.4)^2
4.1,5.7,log,none,sub,\log(4.1) - 5.7
1.9,4.2,square,log,div,\frac{(1.9)^2}{\log(4.2)}
1.1,7.8,cube,cube,mul,(1.1)^3 \times (7.8)^3
2.6,4.4,tan,sin,add,\tan(2.6) + \sin(4.4)
1.5,3.0,sin,exp,add,\sin(1.5) + \exp(3.0)
2.7,4.1,none,exp,add,2.7 + \exp(4.1)
3.6,9.0,cube,none,div,\frac{(3.6)^3}{9.0}
3.7,5.1,log,log,sub,\log(3.7) - \log(5.1)
2.7,9.6,none,sin,add,2.7 + \sin(9.6)
6.0,7.5,none,exp,mul,6.0 \times \exp(7.5)
2.7,6.4,tan,none,mul,\tan(2.7) \times 6.4
2.1,4.0,square,sin,add,(2.1)^2 + \sin(4.0)
4.0,7.1,sqrt,sqrt,add,\sqrt{4.0} + \sqrt{7.1}
2.2,7.4,none,sqrt,mul,2.2 \times \sqrt{7.4}
3.4,7.6,log,cos,mul,\log(3.4) \times \cos(7.6)
2.4,4.0,sin,cos,div,\frac{\sin(2.4)}{\cos(4.0)}
3.6,5.3,none,sqrt,mul,3.6 \times \sqrt{5.3}
5.5,7.0,log,none,add,\log(5.5) + 7.0
5.5,6.7,sqrt,none,sub,\sqrt{5.5} - 6.7
0.2,5.7,log,sin,sub,\log(0.2) - \sin(5.7)
2.2,5.9,square,none,add,(2.2)^2 + 5.9
1.2,4.9,sqrt,sin,sub,\sqrt{1.2} - \sin(4.9)
3.5,5.9,none,square,add,3.5 + (5.9)^2
2.2,7.2,none,sin,div,\frac{2.2}{\sin(7.2)}
1.9,5.0,sqrt,cos,mul,\sqrt{1.9} \times \cos(5.0)
1.6,9.9,sqrt,sqrt,div,\frac{\sqrt{1.6}}{\sqrt{9.9}}
2.1,5.9,sqrt,none,mul,\sqrt{2.1} \times 5.9
2.4,3.3,none,cos,add,2.4 + \cos(3.3)
3.8,8.5,exp,exp,add,\exp(3.8) + \exp(8.5)
5.1,5.5,cos,none,add,\cos(5.1) + 5.5
0.4,7.6,square,exp,sub,(0.4)^2 - \exp(7.6)
5.3,4.8,sin,tan,div,\frac{\sin(5.3)}{\tan(4.8)}
0.9,8.4,none,cube,div,\frac{0.9}{(8.4)^3}
2.7,4.5,log,none,add,\log(2.7) + 4.5
3.8,6.8,sin,cube,div,\frac{\sin(3.8)}{(6.8)^3}
0.6,6.0,sin,cube,div,\frac{\sin(0.6)}{(6.0)^3}
0.9,4.1,sqrt,none,sub,\sqrt{0.9} - 4.1
0.4,6.9,square,sin,add,(0.4)^2 + \sin(6.9)
4.9,7.5,cos,sqrt,mul,\cos(4.9) \times \sqrt{7.5}
4.7,6.2,tan,none,sub,\tan(4.7) - 6.2
5.2,6.1,log,cos,div,\frac{\log(5.2)}{\cos(6.1)}
1.5,4.1,log,cube,sub,\log(1.5) - (4.1)^3
2.1,3.9,log,log,mul,\log(2.1) \times \log(3.9)
1.1,8.3,none,tan,mul,1.1 \times \tan(8.3)
3.9,7.8,log,sin,add,\log(3.9) + \sin(7.8)
3.7,8.6,sin,log,add,\sin(3.7) + \log(8.6)
1.8,6.9,none,sqrt,add,1.8 + \sqrt{6.9}
2.2,8.6,exp,sin,mul,\exp(2.2) \times \sin(8.6)
1.7,9.1,none,cube,add,1.7 + (9.1)^3
5.3,7.0,tan,sin,add,\tan(5.3) + \sin(7.0)
0.2,5.7,none,cos,sub,0.2 - \cos(5.7)
1.8,7.5,sqrt,none,mul,\sqrt{1.8} \times 7.5
3.9,7.8,cos,sin,add,\cos(3.9) + \sin(7.8)
4.7,8.0,log,log,sub,\log(4.7) - \log(8.0)
0.7,8.8,log,exp,mul,\log(0.7) \times \exp(8.8)
3.9,6.5,sin,log,mul,\sin(3.9) \times \log(6.5)
2.6,5.8,cube,none,sub,(2.6)^3 - 5.8
5.9,5.7,exp,tan,mul,\exp(5.9) \times \tan(5.7)
3.5,9.5,square,log,mul,(3.5)^2 \times \log(9.5)
5.7,8.4,none,none,sub,5.7 - 8.4
0.2,4.5,log,log,mul,\log(0.2) \times \log(4.5)
4.3,6.4,square,none,mul,(4.3)^2 \times 6.4
3.0,7.8,cos,cube,div,\frac{\cos(3.0)}{(7.8)^3}
3.2,3.0,sqrt,none,sub,\sqrt{3.2} - 3.0
4.7,5.6,none,none,add,4.7 + 5.6
5.4,8.8,sqrt,sin,mul,\sqrt{5.4} \times \sin(8.8)
6.0,7.9,tan,sin,add,\tan(6.0) + \sin(7.9)
2.9,8.4,sqrt,square,add,\sqrt{2.9} + (8.4)^2
1.9,3.2,none,none,add,1.9 + 3.2
2.9,6.8,exp,tan,mul,\exp(2.9) \times \tan(6.8)
2.2,6.3,tan,cube,add,\tan(2.2) + (6.3)^3
1.9,6.0,none,none,mul,1.9 \times 6.0
1.6,4.4,none,sin,div,\frac{1.6}{\sin(4.4)}
4.0,6.7,sqrt,square,sub,\sqrt{4.0} - (6.7)^2
4.9,7.2,log,log,sub,\log(4.9) - \log(7.2)
4.8,6.4,exp,none,add,\exp(4.8) + 6.4
3.4,4.5,none,sin,sub,3.4 - \sin(4.5)
1.9,6.1,sqrt,none,sub,\sqrt{1.9} - 6.1
0.5,5.6,square,cos,mul,(0.5)^2 \times \cos(5.6)
2.1,7.5,cos,sin,mul,\cos(2.1) \times \sin(7.5)
5.3,5.4,none,none,sub,5.3 - 5.4
1.3,5.3,cos,cos,add,\cos(1.3) + \cos(5.3)
1.7,5.3,tan,log,add,\tan(1.7) + \log(5.3)
2.9,8.1,square,none,div,\frac{(2.9)^2}{8.1}
4.6,3.6,log,none,div,\frac{\log(4.6)}{3.6}
2.3,7.9,square,exp,mul,(2.3)^2 \times \exp(7.9)
0.6,8.8,square,none,add,(0.6)^2 + 8.8
4.5,9.4,square,cos,sub,(4.5)^2 - \cos(9.4)
0.6,6.7,none,log,mul,0.6 \times \log(6.7)
0.2,7.2,log,cos,add,\log(0.2) + \cos(7.2)
3.4,9.5,sqrt,cos,sub,\sqrt{3.4} - \cos(9.5)
5.8,5.6,log,sin,mul,\log(5.8) \times \sin(5.6)
4.5,7.0,none,exp,mul,4.5 \times \exp(7.0)
4.9,7.6,exp,square,mul,\exp(4.9) \times (7.6)^2
2.7,7.9,square,sin,mul,(2.7)^2 \times \sin(7.9)
3.6,7.7,sqrt,log,mul,\sqrt{3.6} \times \log(7.7)
3.5,9.2,tan,square,div,\frac{\tan(3.5)}{(9.2)^2}
4.8,7.9,none,log,div,\frac{4.8}{\log(7.9)}
0.8,8.0,log,sin,add,\log(0.8) + \sin(8.0)
4.6,4.0,none,none,add,4.6 + 4.0
5.8,6.3,log,log,sub,\log(5.8) - \log(6.3)
1.5,8.9,sqrt,none,mul,\sqrt{1.5} \times 8.9
3.2,8.3,none,cos,add,3.2 + \cos(8.3)
1.4,6.2,cos,cos,mul,\cos(1.4) \times \cos(6.2)
2.1,4.8,log,cube,add,\log(2.1) + (4.8)^3
1.0,3.8,cos,sqrt,mul,\cos(1.0) \times \sqrt{3.8}
5.0,5.5,none,none,sub,5.0 - 5.5
1.5,5.5,sqrt,exp,mul,\sqrt{1.5} \times \exp(5.5)
2.4,7.0,sqrt,sin,sub,\sqrt{2.4} - \sin(7.0)
5.8,8.8,cos,cos,sub,\cos(5.8) - \cos(8.8)
3.9,8.7,cos,sqrt,mul,\cos(3.9) \times \sqrt{8.7}
4.7,3.2,square,none,sub,(4.7)^2 - 3.2
2.9,5.3,sqrt,cos,mul,\sqrt{2.9} \times \cos(5.3)
4.6,4.4,sqrt,sin,add,\sqrt{4.6} + \sin(4.4)
4.0,9.3,square,cos,mul,(4.0)^2 \times \cos(9.3)
3.3,6.8,exp,cos,mul,\exp(3.3) \times \cos(6.8)
1.7,7.9,none,sqrt,mul,1.7 \times \sqrt{7.9}
3.7,5.5,none,log,mul,3.7 \times \log(5.5)
0.4,5.4,tan,square,mul,\tan(0.4) \times (5.4)^2
3.3,7.1,log,none,sub,\log(3.3) - 7.1
0.5,5.0,sqrt,sqrt,mul,\sqrt{0.5} \times \sqrt{5.0}
1.8,5.8,none,cube,div,\frac{1.8}{(5.8)^3}
2.3,9.4,none,log,div,\frac{2.3}{\log(9.4)}
3.1,7.0,sin,log,div,\frac{\sin(3.1)}{\log(7.0)}
4.0,5.7,none,none,mul,4.0 \times 5.7
0.8,8.1,log,none,mul,\log(0.8) \times 8.1
0.3,8.8,sqrt,cos,sub,\sqrt{0.3} - \cos(8.8)
3.8,6.1,square,sqrt,add,(3.8)^2 + \sqrt{6.1}
2.9,8.7,none,none,div,\frac{2.9}{8.7}
5.7,8.0,none,sin,add,5.7 + \sin(8.0)
5.0,6.8,exp,cos,mul,\exp(5.0) \times \cos(6.8)
4.2,6.3,exp,cube,add,\exp(4.2) + (6.3)^3
1.0,6.7,log,none,add,\log(1.0) + 6.7
5.7,5.2,tan,cos,mul,\tan(5.7) \times \cos(5.2)
6.0,7.3,sin,cube,add,\sin(6.0) + (7.3)^3
3.6,8.1,tan,none,add,\tan(3.6) + 8.1
2.8,9.2,cos,log,add,\cos(2.8) + \log(9.2)
1.6,4.4,tan,log,sub,\tan(1.6) - \log(4.4)
3.7,3.1,sin,tan,sub,\sin(3.7) - \tan(3.1)
3.2,6.8,sqrt,cos,add,\sqrt{3.2} + \cos(6.8)
1.7,3.6,cube,none,mul,(1.7)^3 \times 3.6
3.0,7.9,sqrt,sin,add,\sqrt{3.0} + \sin(7.9)
1.2,8.4,square,none,sub,(1.2)^2 - 8.4
1.9,7.0,sin,none,add,\sin(1.9) + 7.0
1.6,4.2,none,sin,add,1.6 + \sin(4.2)
2.6,8.2,none,tan,mul,2.6 \times \tan(8.2)
1.3,6.4,cube,cube,div,\frac{(1.3)^3}{(6.4)^3}
2.6,9.7,none,sqrt,div,\frac{2.6}{\sqrt{9.7}}
0.3,5.9,tan,exp,mul,\tan(0.3) \times \exp(5.9)
4.5,6.4,square,square,add,(4.5)^2 + (6.4)^2
3.1,9.5,log,exp,add,\log(3.1) + \exp(9.5)
0.1,8.3,square,square,mul,(0.1)^2 \times (8.3)^2
3.0,6.0,cos,none,add,\cos(3.0) + 6.0
3.2,6.5,tan,sqrt,mul,\tan(3.2) \times \sqrt{6.5}
3.3,7.5,square,log,sub,(3.3)^2 - \log(7.5)
4.0,8.6,cos,cos,add,\cos(4.0) + \cos(8.6)
4.3,8.5,none,cos,add,4.3 + \cos(8.5)
1.8,8.9,cos,cos,sub,\cos(1.8) - \cos(8.9)
4.5,5.7,sin,square,sub,\sin(4.5) - (5.7)^2
3.9,4.5,sin,square,add,\sin(3.9) + (4.5)^2
3.0,5.9,sin,none,mul,\sin(3.0) \times 5.9
1.3,4.2,none,none,mul,1.3 \times 4.2
5.7,8.6,log,cos,add,\log(5.7) + \cos(8.6)
4.3,4.0,log,none,mul,\log(4.3) \times 4.0
3.4,4.3,log,cube,sub,\log(3.4) - (4.3)^3
1.8,7.0,none,cos,add,1.8 + \cos(7.0)
3.6,9.9,sin,log,add,\sin(3.6) + \log(9.9)
3.8,7.3,none,square,add,3.8 + (7.3)^2
3.2,4.9,cos,none,div,\frac{\cos(3.2)}{4.9}
4.4,5.9,square,none,add,(4.4)^2 + 5.9
5.7,4.7,cos,cube,add,\cos(5.7) + (4.7)^3
3.1,6.8,none,sin,mul,3.1 \times \sin(6.8)
3.3,7.7,log,log,sub,\log(3.3) - \log(7.7)
0.3,9.9,none,log,add,0.3 + \log(9.9)
2.9,8.2,square,cos,div,\frac{(2.9)^2}{\cos(8.2)}
3.3,5.6,none,log,mul,3.3 \times \log(5.6)
4.7,6.5,none,sin,div,\frac{4.7}{\sin(6.5)}
3.7,7.7,exp,cube,sub,\exp(3.7) - (7.7)^3
5.0,4.3,sqrt,cos,sub,\sqrt{5.0} - \cos(4.3)
2.2,7.7,square,none,sub,(2.2)^2 - 7.7
4.2,4.3,none,tan,add,4.2 + \tan(4.3)
0.1,8.2,cube,tan,add,(0.1)^3 + \tan(8.2)
4.0,6.0,sqrt,none,sub,\sqrt{4.0} - 6.0
3.0,6.8,sqrt,exp,add,\sqrt{3.0} + \exp(6.8)
1.4,7.0,square,exp,add,(1.4)^2 + \exp(7.0)
5.5,8.9,exp,square,add,\exp(5.5) + (8.9)^2
4.1,5.0,tan,sin,sub,\tan(4.1) - \sin(5.0)
2.9,3.1,log,square,mul,\log(2.9) \times (3.1)^2
3.5,7.0,none,cos,sub,3.5 - \cos(7.0)
5.5,7.5,sqrt,cube,mul,\sqrt{5.5} \times (7.5)^3
5.2,7.0,square,log,sub,(5.2)^2 - \log(7.0)
5.1,5.1,exp,log,add,\exp(5.1) + \log(5.1)
4.3,5.5,cube,sin,add,(4.3)^3 + \sin(5.5)
2.7,6.1,log,sqrt,mul,\log(2.7) \times \sqrt{6.1}
3.7,5.6,log,sin,mul,\log(3.7) \times \sin(5.6)
1.0,8.2,cos,cos,add,\cos(1.0) + \cos(8.2)
3.4,3.7,sqrt,sqrt,div,\frac{\sqrt{3.4}}{\sqrt{3.7}}
4.4,6.4,sqrt,log,sub,\sqrt{4.4} - \log(6.4)
1.9,7.2,none,cos,mul,1.9 \times \cos(7.2)
2.7,9.4,sqrt,sin,mul,\sqrt{2.7} \times \sin(9.4)
0.6,6.5,sin,sin,div,\frac{\sin(0.6)}{\sin(6.5)}
5.7,5.0,sqrt,none,mul,\sqrt{5.7} \times 5.0
0.3,6.5,none,exp,add,0.3 + \exp(6.5)
2.0,6.4,none,exp,sub,2.0 - \exp(6.4)
4.8,6.3,sin,cube,sub,\sin(4.8) - (6.3)^3
2.7,5.0,sin,sin,add,\sin(2.7) + \sin(5.0)
0.3,7.2,cube,square,mul,(0.3)^3 \times (7.2)^2
4.8,7.4,tan,sqrt,add,\tan(4.8) + \sqrt{7.4}
4.6,5.0,cos,cos,add,\cos(4.6) + \cos(5.0)
3.9,8.0,none,sin,div,\frac{3.9}{\sin(8.0)}
5.7,5.5,none,cube,add,5.7 + (5.5)^3
3.4,3.9,log,sqrt,sub,\log(3.4) - \sqrt{3.9}
2.5,4.4,none,sin,div,\frac{2.5}{\sin(4.4)}
3.1,3.9,cos,cos,mul,\cos(3.1) \times \cos(3.9)
3.2,8.1,none,log,div,\frac{3.2}{\log(8.1)}
1.5,6.4,square,square,div,\frac{(1.5)^2}{(6.4)^2}
3.0,8.1,square,sin,add,(3.0)^2 + \sin(8.1)
0.8,6.0,cos,none,sub,\cos(0.8) - 6.0
4.5,8.7,none,cos,div,\frac{4.5}{\cos(8.7)}
3.5,4.7,log,cos,mul,\log(3.5) \times \cos(4.7)
2.2,7.9,sqrt,cos,add,\sqrt{2.2} + \cos(7.9)
1.6,6.6,none,log,add,1.6 + \log(6.6)
1.0,7.3,none,sqrt,mul,1.0 \times \sqrt{7.3}
1.1,7.5,tan,square,add,\tan(1.1) + (7.5)^2
2.0,4.9,cos,sqrt,add,\cos(2.0) + \sqrt{4.9}
1.6,6.3,none,square,sub,1.6 - (6.3)^2
2.3,4.8,exp,cos,div,\frac{\exp(2.3)}{\cos(4.8)}
