price,review_time,rating,category,verified,brand,title,description,review_text,summary
9.99,2476.0,4.0,Literature & Fiction > Action & Adventure,True,Brian Kelleher,Need for Speed,<b>Brian Kelleher</b> is the author of <i>Need For Speed</i>.,Very Good!!,Four Stars
9.84,2671.0,5.0,Religion & Spirituality > Worship & Devotion,False,Visit Amazon's Epictetus Page,A Manual for Living (Little Book of Wisdom (Harper San Francisco)),Text: English (translation)<br /> Original Language: Latin,Nice to pick up and get focused. Amazing how little man has truly changed over the years,Five Stars
34.21,2634.0,5.0,Literature & Fiction > Genre Fiction,True,Visit Amazon's David Baldacci Page,Total Control,THIS IS BRAND NEW BOOK.WE PROVIDE 100% CUSTOMER SATISFACTION.,Very entertaining! It was a real page turner. Great suspense and twists. Great character development . Well written and worth reading.,Couldn't put it down
9.5,2114.0,5.0,Literature & Fiction > Genre Fiction,True,Visit Amazon's Elin Hilderbrand Page,Beautiful Day: A Novel,"Elin Hilderbrand has lived on Nantucket for twenty years. She runs every morning, delivers her children to their sporting events, and occasionally frequents the front row at the Chicken Box. <em>Beautiful Day</em> is her twelfth novel.",A book for females age sixteen and older. All families have their issues and love still survives through it all.,Beautiful setting
5.98,1804.0,4.0,Science Fiction & Fantasy > Fantasy,True,Visit Amazon's J. R. R. Tolkien Page,Hobbit,"The enchanting prelude to ""The Lord of the Rings""","I thought this was a pretty good book. So glad I finished this before the movie comes out. If anyone wants a good book to read, read this one. Definitely lives up to the hype about this wonderful epic that Tolkien created.",The Hobbit Review
7.99,1187.0,5.0,Science Fiction & Fantasy > Fantasy,False,Visit Amazon's Jeaniene Frost Page,Eternal Kiss of Darkness,"Wildly romantic as well as action packed. If Frost keeps this up, fans will need to build more keeper shelves! (Romantic Times BOOKclub)","I absolutly loved this book. Never really was one for Mencheres but after reading this I found a new myself respecting his character more than before. I absolutly love Kira, she is great. Def worth reading while waiting for the next book to come out",WOW
35.0,2314.0,5.0,Humor & Entertainment > Radio,True,Visit Amazon's J. R. R. Tolkien Page,Hobbit and Lord of the Rings Trilogy - Boxed Set of 4 Books,Box set of JRR Tolkien's incomparable classic,I love to read these books. It is interesting how they differ from the movie. I read to my 2 year old and it puts her right to sleep.,I love books
17.99,2415.0,5.0,Comics & Graphic Novels > Graphic Novels,True,Visit Amazon's Tom Taylor Page,Injustice: Gods Among Us Vol. 2,"""An entertaining gateway into the new game universe.""IGN<br /><br />""One of the best DC comics to not only come out this week, but since the start of 2013.""AIN'T IT COOL NEWS",For any dc fan it's a must read,Five Stars
24.3,2494.0,5.0,"Crafts, Hobbies & Home > Pets & Animal Care",True,Monks of New Skete,The Art of Raising a Puppy (Revised Edition),"As a community, the Monks of New Skete have been breeding, raising, and training dogs for more than 30 years. New Skete Monastery is located in Cambridge, New York.",Nice book with some great insights. I think it will be very helpful in the training and puppy raising process.,puppies and more
9.09,2196.0,5.0,Teen & Young Adult > Literature & Fiction,True,Visit Amazon's Laini Taylor Page,Daughter of Smoke & Bone,<b><b>YALSA Top Ten Best Fiction for Young Adults</b></b>,LOVED this book! Great characters and the story pulls you in and leaves you craving the next installment - can't wait for the story to continue!,LOVED this book!
7.18,2640.0,5.0,"Mystery, Thriller & Suspense > Mystery",True,Visit Amazon's Jenn McKinlay Page,"Going, Going, Ganache (Cupcake Bakery Mystery)",[McKinlay] continues to deliver well-crafted mysteries full of fun and plot twists.,love this series lite read and the receipes,Five Stars
18.29,2267.0,5.0,Literature & Fiction > Erotica,True,Visit Amazon's Jasinda Wilder Page,Falling Into Us,The story you thought you knew:,"So Falling into you made me an ugly crier while reading.  Falling Into Us made me relive all of that and added more heartbreak!  Excellent book again, but one that I had to keep taking breaks from to save myself from the heartache.  Another excellent book by Jasinda Wilder.",Another heartwrenching read
28.8,1985.0,5.0,"Mystery, Thriller & Suspense > Thrillers & Suspense",True,Visit Amazon's Vince Flynn Page,Kill Shot (The Mitch Rapp Series),Vince Flynn's fifteen thrillers have been published in twenty countries. Visit his website at www.vinceflynn.com.,great book  kept me glued to it from start to end would highly recommend this book for a good reading.,american assassin thriller by vince flynn
35.0,2261.0,5.0,Humor & Entertainment > Radio,True,Visit Amazon's J. R. R. Tolkien Page,Hobbit and Lord of the Rings Trilogy - Boxed Set of 4 Books,Box set of JRR Tolkien's incomparable classic,I thought it wasn't going to be good then I got into it and I loved it. Fantastic 5 stars,AWESOME
39.0,2788.0,5.0,Christian Books & Bibles > Christian Living,True,Visit Amazon's Mike Bickle Page,After God's Own Heart: The key to knowing and living God's passionate love for you,<div>,Look into the very heart of God and see that it's all about His love for us!,... of God and see that it's all about His love for us
7.95,2644.0,5.0,Science Fiction & Fantasy > Fantasy,True,Visit Amazon's Diana Gabaldon Page,Drums of Autumn,Like New!!!,good product,Five Stars
7.99,2479.0,5.0,Literature & Fiction > Classics,True,Visit Amazon's Anton Chekhov Page,The Lady with the Dog and Other Stories,"Book by Chekhov, Anton",Chekov is indeed that master of the short story. While 'The Lady With the Dog was excellent' I found 'An Anonymous Story' to be the best in this collection.,Outstanding
16.99,2543.0,5.0,"Cookbooks, Food & Wine > Special Diet",True,Visit Amazon's Tabitha Elliott Page,The Egg-Free Cookbook: Get Back the Foods You've Been Missing,<span></span>,Simple and easy recipes for things we all eat everyday.  good book.,Five Stars
9.99,2020.0,4.0,"Mystery, Thriller & Suspense > Mystery",False,Visit Amazon's Stephanie Bond Page,Two Guys Detective Agency,A new humorous mystery series!,A great diversion. Quick and easy to read. I was sad when it was over but I can't wait for the next book.,Fun read
7.95,1710.0,5.0,Literature & Fiction > Erotica,True,Visit Amazon's Shayla Black Page,Wicked Ties (A Wicked Lovers Novel),"""A wicked, sensual thrill from first page to last. I loved it!"" ---Lora Leigh, author of the Breeds series
						    	
						        	--This text refers to an out of print or unavailable edition of this title.","This book is smoking hot and has a great story line. If your not into hot sex in every chapter, don't buy this book.",hot hot hot
27.0,2634.0,5.0,Science Fiction & Fantasy > Fantasy,False,Visit Amazon's J.R. Rain Page,Vampire Sun (Vampire for Hire #9),<span>J.R. Rain is an ex-private investigator who now writes full-time in the Pacific Northwest. He is the author of over sixty novels and forty short stories. Please visit him at: jrrain.com.</span>,This series is entertaining.,good book
6.29,2706.0,5.0,Children's Books > Growing Up & Facts of Life,True,Jarrett J. Krosoczka,Lunch Lady and the Picture Day Peril: Lunch Lady #8,"JARRETT J. KROSOCZKA is the author and illustrator of seven other Lunch Lady graphic novels, as well as numerous popular picture books, including <i>Ollie, Punk Farm, Punk Farm on Tour, Max for President</i>, and <i>Baghead</i>.",Thanks,Five Stars
3.99,2415.0,5.0,Children's Books > Science Fiction & Fantasy,True,Visit Amazon's Anthea Sharp Page,Feyland: The First Adventure,<b><i> High-tech computer gaming meets the treacherous realm of faerie in this prequel adventure to the Feyland Books. Start here and six novels of magic gaming and romance await! </i></b>,The book sucks you in quickly and completely. Love how short it is and how much is conveyed in that short time!,good read!
6.39,2773.0,5.0,Children's Books > Growing Up & Facts of Life,True,Visit Amazon's James Patterson Page,I Even Funnier: A Middle School Story (I Funny),<b>Praise for </b><b><i>I Funny</i></b><b>:</b>,Grandson likes the whole series,Five Stars
7.99,2256.0,5.0,"Mystery, Thriller & Suspense > Mystery",True,Visit Amazon's Kay Hooper Page,Chill of Fear,"""Hooper keeps the reader guessing until the chilling end.""",I like Kay Hooper and this story was a spin chiller. Have it on my Kindle Fire and had to get it on audio. Great story.,love it
12.5,2297.0,5.0,Literature & Fiction > United States,True,Visit Amazon's Jaci Burton Page,Rescue Me,"""Mackenzie Cartwright did a good job of carrying the story and keeping me interested. She seemed to really understand the characters, both the main and supporting characters, and she really brought them to life."" ---Ramblings From This Chick",This was an excellent book great story wonderful characters .the kind of book you can loose yourself in for hours,Very good
13.95,2738.0,5.0,Science Fiction & Fantasy > Fantasy,True,Visit Amazon's C. Dale Brittain Page,The Starlight Raven,"""... a pleasant, often charming tale, with plenty of room for sequels."" --Carolyn Cushman,<i>Locus</i>","I have been reading about Yurt and Daimbert for years, and I still enjoy every one of them. Please, keep them coming! Maybe one for each of Antonia's years in school?",Keep them coming
4.99,2059.0,3.0,Self-Help > Happiness,True,Visit Amazon's Kamal Ravikant Page,Love Yourself Like Your Life Depends On It,"""One of the most important books I've read this year.""",Good quality short book which you can finish in one sitting .But as the author says read each chapter and think about it!,Motivating!
15.58,2701.0,5.0,"Health, Fitness & Dieting > Alternative Medicine",True,Visit Amazon's Rosemary Caddy Page,Aromatherapy: The Essential Blending Guide,Aromatherapy,A very useful tool when blending!,Blendings done right!
9.62,2211.0,3.0,"Children's Books > Fairy Tales, Folk Tales & Myths",True,Jacob Lawrence,Aesop's Fables,Text: English (translation)<br /> Original Language: Greek,Not something she would give to the students (elementary) to read but she reads from the book. Timeless lessons for everybody.,For my daughter the teacher
4.95,1865.0,4.0,Literature & Fiction > History & Criticism,True,Visit Amazon's Steve Weber Page,"Kindle Buffet: Find and download the best free books, magazines and newspapers for your Kindle, iPhone, iPad or Android",,This book has really helped me make the most of my new Kindle. Lots of great links and info to help you become an expert!,Very useful
28.13,2812.0,5.0,Science Fiction & Fantasy > Fantasy,False,Visit Amazon's Brent Weeks Page,The Way of Shadows (Night Angel),"""I was mesmerized from start to finish. Unforgettable characters, a plot that kept me guessing, nonstop action, and the kind of in-depth storytelling that makes me admire a writer's work."" ---Terry Brooks, New York Times bestselling author",The whole series is amazing!!!! I would totally be into the movie. Can't say more than AMAZING!!!,Five Stars
29.0,2868.0,5.0,Education & Teaching > Schools & Teaching,True,"Totten, Douglas Smith",Algebra 1,all solutions to all exercises/problems included/integrated within the book,exactly wanted and they work well,Five Stars
19.99,2024.0,5.0,Literature & Fiction > Genre Fiction,True,Visit Amazon's Neal Stephenson Page,The Mongoliad: Book One (The Mongoliad Cycle),"Neal Stephenson is primarily a fiction author and has received several awards for his works in speculative fiction. His more popular books include Snow Crash, The Diamond Age, Cryptonomicon, The Baroque Cycle, and Anathem.","I love all of the Foreworld series especially the main story, of which this is one. Can't wait for the next book in the series.",Recommended
23.5,2430.0,1.0,Biographies & Memoirs > Specific Groups,True,Visit Amazon's Michael Blanding Page,The Map Thief: The Gripping Story of an Esteemed Rare-map Dealer Who Made Millions Stealing Priceless Maps,"""The Map Thief isn't just a perceptive, meticulously researched portrait of an exceedingly unlikely felon. It's also a tribute to the beautiful old maps that inspired his cartographic crimes---and shaped our modern world."" ---Ken Jennings",Was not as good as I thought it would be.,Not good.
14.97,1915.0,5.0,Christian Books & Bibles > Bible Study & Reference,True,Visit Amazon's Andrew Wommack Page,Discover the Keys to Staying Full of God,"Andrew Wommack, seen nationwide on the Gospel Truth, reveals four secrets to staying off the roller coaster of Christian highs and lows and experiencing a growing, thriving relationship with your Father God.",It was a great book to read about God and how we relate to Him. God loves us I guess is the greatest message in the book. I needed that!,Loved it!
17.88,2468.0,3.0,Christian Books & Bibles > Literature & Fiction,True,Visit Amazon's J. Helen Elza Page,Return to Widows Hollow: Book II of the Appalachian Trilogy (Volume 2),"J. Helen Elza is the author of the highly acclaimed Rosemillion, available in twelve languages. Currently at work on Book III of the Appalachian Trilogy, she hangs out with the dragonflies, seagulls and pelicans in Florida, Texas and Tennessee.",Too much fiction.,Three Stars
7.78,2739.0,4.0,Biographies & Memoirs > Leaders & Notable People,True,Visit Amazon's Wolfgang Faust Page,The Last Panther - Slaughter of the Reich - The Halbe Kessel 1945,"The rarely-heard voice of a World War 2 panzer crewman, now in a modern English translation.",Certainly a different perspective.  Compelling reading just the same.,German War Story
8.99,1939.0,5.0,Teen & Young Adult > Literature & Fiction,True,Visit Amazon's Brian Jacques Page,Doomwyte: A Tale from Redwall,"""The latest installment in the phenomenally popular Redwall series will captivate fans."" -<i>Booklist</i>","I am a huge fan of any Redwall book. I have almost all of them and I love reading them! I am not exactly in the right age range for these books, but I love books that make you use your imagination!",love it
31.09,1903.0,5.0,History > World,True,Visit Amazon's Martin Luther Page,Martin Luther's Basic Theological Writings,"Text: English (translation)<br /> Original Language: German, Latin","This book has helped me understand the theological basis for many of Luther's problems with the church of his day.  Through this understanding, I am able to critically assess the church of today.  Several of the articles form a strong foundation for Christian Ethics from a Lutheran Perspective.",Luther's writings with footnotes and introductions
10.18,2769.0,5.0,Biographies & Memoirs > Memoirs,True,Visit Amazon's Lisa V. Proulx Page,Weedmonkey,4 Stars,"Great, though sometimes painful to read, story.  Very well written.  The story drew me in and I loved it right up to the last sentence.",Great Story
12.99,2075.0,4.0,Teen & Young Adult > Romance,True,Visit Amazon's Bella Forrest Page,Beautiful Monster,<b>What Amazon reviewers are saying:</b>,"Beautiful, different story about paranormal beings, well developed and surprising characters and good time-frame.

Thank you for sharing your inner world with us. Keep us the writing please!",A beautiful surprise!
6.95,2660.0,5.0,"Children's Books > Activities, Crafts & Games",True,Visit Amazon's Liz Ball Page,Hidden Treasures: A Book of Hidden Picture Puzzles,"Book by Ball, Liz",great for students,Five Stars
13.78,2250.0,4.0,Christian Books & Bibles > Literature & Fiction,True,Visit Amazon's Lynette Eason Page,Too Close to Home (Women of Justice Series #1),Readers who enjoy romantic suspense authors Suzanne Brockmann and Sandra Brown but who prefer their thrills with a little more conscience and a lot less sex will be thrilled with Eason's new series opener. - Library Journal --Library Journal,If you like mystery and romance combo then this is a book to add to your shelf of must reads.,Good read
10.84,147.0,5.0,Literature & Fiction > Classics,True,Visit Amazon's Chelsea Handler Page,"Are You There, Vodka? It's Me, Chelsea",Unusual book,"This book is very typical Chelsea. It's funny, quick-witted and easy to read. I found myself laughing out loud more than once. I could hear her saying the words as I read them. She's such a funny gal - I hope she keeps the stories coming!","A quick, fun read"
7.95,2228.0,5.0,Children's Books > Education & Reference,True,Kumon Pub. North America Ltd,Geometry & Measurement Grade 4 (Kumon Math Workbooks),<br /><br /><b>Book Details:</b>,GOOD PRACTICE WORK BOOK. THIS WILL HLP THE 4TH GRADE CHILDREN A LOT WHO ARE NOT ATTENDING THE KUMON CLASS. THIS HAS HELPED MY  SON ALOT AND HE ENJOYED IT.,BEST FOR THE MATH LOVERS
14.79,2196.0,5.0,"Mystery, Thriller & Suspense > Thrillers & Suspense",True,Visit Amazon's Kathy Reichs Page,Flash and Bones: (Temperance Brennan 14),"(FLASH AND BONES) BY REICHS, KATHY[ AUTHOR ]Paperback 07-2012",Love Kathy Reichs. What depth in her characters. Tempe is a great character. The decription of how to have compasion for the dead. A must read.,What a great book
4.95,2076.0,2.0,Literature & Fiction > History & Criticism,True,Visit Amazon's Steve Weber Page,"Kindle Buffet: Find and download the best free books, magazines and newspapers for your Kindle, iPhone, iPad or Android",,It was okay but just not what I expected you can find the same information bu googling the Internet yourself.,Not what I was hoping for...
14.23,2839.0,5.0,Teen & Young Adult > Science Fiction & Fantasy,True,Visit Amazon's C.R. Fladmark Page,The Gatekeeper's Son,"""...an engrossing story, with a huge heaping of action and very appealing characters ... an intricate, unusual plot wrapped inside a great story. - 2015 Benjamin Franklin Awards ""Filled with magic, mayhem and intrigue, Fladmark's series is off to a solid start."" - Kirkus Reviews",Great read,Five Stars
1.9,2058.0,5.0,"Mystery, Thriller & Suspense > Mystery",True,Visit Amazon's Patricia Wentworth Page,Latter End,Book by Patricia Wentworth,"Patricia Wentworth is right up there with Agatha.  Miss Silver is a good match with Miss Marple, but has her own methods to get the clues!  Good reads.",Love Patricia Wentworth
8.22,2541.0,5.0,Christian Books & Bibles > Literature & Fiction,True,Visit Amazon's C. S. Lewis Page,"The Last Battle: Chronicles of Narnia, Book 7","THE CHRONICLES OF NARNIA, BOOK 7 THE LAST BATTLE C. S. LEWIS 1995 EDITION",i am pleased with my item,Five Stars
0.72,1884.0,3.0,Humor & Entertainment > Humor,True,Visit Amazon's Jerome K. Jerome Page,Three Men on the Bummel,Slight signs of wear!,"Having read Three Men in a Boat years ago found this one not quite as entertaining.  Interesting though.  Perhaps because I wasn't well when I read it I am a shade prejudiced.

I like his style.",Three Men on he Bummel
20.8,2166.0,4.0,Medical Books > Psychology,True,C. G. Jung,Jung on Active Imagination,Text: English (translation)<br /> Original Language: German,is an excellent and complete revision of junguian active imagination and a very good introduction for beginners and scholars also,excellent
47.02,1740.0,5.0,Literature & Fiction > Contemporary,True,gillian-flynn,Sharp Objects,Unusual book,Truly a gripping story!  Twists and turns you don't see in many books often anymore with an ending that is truly not forseen!,Great
8.99,2422.0,5.0,"Mystery, Thriller & Suspense > Thrillers & Suspense",True,Visit Amazon's Tim Weaver Page,Never Coming Back: A David Raker Mystery,"TIM WEAVER also writes about films, television, sports, games, and technology. He lives with his wife and daughter near Bath, England.",Slow start but hang in there. Great plot and development. Lots of twists and turns you don't see coming. Highly recommend it.,absolutely fantastic
4.76,2101.0,5.0,"Mystery, Thriller & Suspense > Thrillers & Suspense",True,Visit Amazon's Dean Koontz Page,Odd Hours,New,"Well, it's not great literature, but can be a fun read.  That's what its all about.  thank you very much",Odd Apocalypse
27.37,2123.0,5.0,"Health, Fitness & Dieting > Alternative Medicine",True,Visit Amazon's Michael A. Singer Page,The Untethered Soul: The Journey Beyond Yourself,"""Read this book carefully and you will get more than a glimpse of eternity."" ---Deepak Chopra","This book along with several other books I read, plus my Buddhist studies, helped clearify my understanding of my spiritual journey.",Just what I was looking for
15.99,2201.0,5.0,Self-Help > Relationships,True,Visit Amazon's Heidi McLaughlin Page,Finding My Forever (The Beaumont Series) (Volume 3),OTHER BOOKS BY HEIDI MCLAUGHLIN<br /><br />,I held off reading this savoring the moment. I lived this series so much. I cried nonstop from the concert on. Great job Heidi. I'll cherish these books Forever,the best!
12.5,2352.0,5.0,Romance > Historical,True,Visit Amazon's Eliza Knight Page,The Highlander's Warrior Bride (Stolen Bride),Eliza Knight is the bestselling author of several historical romance series. Her many Scottish romance titles include The Highlander's Reward and Conquered by the Highlander. Eliza runs the award-winning blog History Undressed.,"the series you can't finish one with out going to the next

if you like highlanders like me you will love this series",awesome
47.02,2515.0,5.0,Literature & Fiction > Contemporary,False,gillian-flynn,Sharp Objects,Unusual book,"I'm not sure which novel I enjoyed better, Gone Girl or Sharp Objects! Both were page turners however Sharp Objects, had suspense, a few dark jokes, just overall a great read! I don't think Gillian Flynn can do any wrong. Now I want to read Dark Places.",Wish it wouldn't end!
397.43,2255.0,1.0,Religion & Spirituality > Worship & Devotion,True,Word Ministries,Prayers That Avail Much,"Leather Bound
Publisher: Harrison House (1990)
Language: English","I am disappointed in the work presented in this book of prayers. It seems thoughtlessly done, with very little depth. The prayers are amiss and arbitrary. I do not recommend this book to anyone.",Disappointing
33.01,2001.0,5.0,"Mystery, Thriller & Suspense > Mystery",True,Sir Arthur Conan Doyle,The Complete Sherlock Holmes (Volume One),"The books are: A Study in Scarlet, The Sign of Four, The Adventures of Sherlock Holmes (12 short stories), and Memories of Sherlock Holmes (11 short stories).","If you are a Sherlock holmes fan, just do yourself a favor and get this book! I love the relationship between holmes and watson. Very well written series of shortstories.",Simply Great
19.99,2691.0,5.0,Children's Books > Literature & Fiction,True,Visit Amazon's Rush Limbaugh Page,Rush Revere and the Brave Pilgrims: Time-Travel Adventures with Exceptional Americans,"Rush Limbaugh is host of <i>The Rush Limbaugh Show</i>the nations highest-rated talk-radio program, with an audience of more than 20 millionand a #1 <i>New York Times </i>bestselling author. Visit RushLimbaugh.com.",A great teaching tool for young Americans.,Five Stars
20.0,2456.0,5.0,Literature & Fiction > Action & Adventure,False,Visit Amazon's Vince Flynn Page,Executive Power,"Vince Flynn is the New York Times bestselling author of eleven thrillers, including most recently EXTREME MEASURES and ACT OF TREASON. He lives in Minneapolis with his wife and three children. Visit www.vinceflynn.com",Great Story.....I love all of his books.  Makes me want to join the CIA.,Five Stars
19.0,2639.0,3.0,"Health, Fitness & Dieting > Psychology & Counseling",True,Visit Amazon's Viktor E. Frankl Page,"Man's Search for Meaning: An Introduction to Logotherapy, Revised and Enlarged Edition",Man Search for Meaning,"Be thankful for what you have, keep your mind and thought positive, do some volunteer work and most likely, you will be ok!",the importance of staying positive regardless of how bad is the situation one can be in!
999.98,2670.0,3.0,Literature & Fiction > Contemporary,True,Visit Amazon's Kate Morton Page,The House At Riverton (Large Print Edition),Hardcover. 2006 Large Print Edition. Atria Publication. 883 Pages.,Sad touching and deeply moving.  CAN'T WAIT TO START THE NEXT ONE.  It has been a very long time since I have been this moved by a book.  Wish I had discovered this author years ago.,My first Kate Morton !  AMAZING!
10.99,2710.0,5.0,Science Fiction & Fantasy > Fantasy,True,Visit Amazon's Jo Ellen Page,Wolf Creek Alpha: Texas Pack (Volume 1),<b>Sign up for New Releases at joellenbooks.com</b>,Great book,Five Stars
3.84,2493.0,4.0,Politics & Social Sciences > Social Sciences,False,Visit Amazon's Carlos Castaneda Page,The Teachings of Don Juan: a Yaqui Way of Knowledge,Mass Market Paperback: 276 pages Publisher: Ballantine Books; 13th Printing edition (1973) Language: English,"The book is in better condition than I expected, it arrived  in a timely manner, and the price was  good.  I am pleased.",The book is in better condition than I expected
19.95,826.0,5.0,Travel > United States,True,DeLorme,Georgia Atlas & Gazetteer (Delorme Atlas & Gazetteer),DeLorme has been directly responsible for many of the major technological advances made in the mapping industry over the past 30 years.,"Size is right.  Organization is right.  Graphics, colors, and font sizes are right.  Facts are right.  Paper weight is right.  Even price is right.  There is no true replacement for this exceptional product.",Uniquely helpful atlas.
7.99,1769.0,5.0,Literature & Fiction > Erotica,True,Visit Amazon's Johanna Lindsey Page,When Love Awaits (Avon Historical Romance),"""Johanna Lindsey creates fairy tales that come true""--"" Romantic Times""",Reading is one of my favorite pastimes. Johanna Lindsey transports you to another place and time. Medieval Romances are my favorite thing! I will definitely be ordering more books.,Great Writer
8.79,2572.0,5.0,Children's Books > Literature & Fiction,True,Visit Amazon's Lisa Tawn Bergren Page,God Gave Us Christmas (God Gave Us Series),<b><i>ECPA</i>bestseller<br /><i>USA Today</i>bestseller</b>,Love her books.  I bought them all for the grandkids.,Five Stars
21.11,2868.0,5.0,Biographies & Memoirs > Historical,True,Visit Amazon's Ivan Yakushin Page,On the Roads of War: A Soviet Cavalryman on the Eastern Front,Ivan Yakushin is a World War II veteran who fought on the Eastern Front.,Excellent.....,Five Stars
10.18,2885.0,5.0,Humor & Entertainment > Radio,True,Visit Amazon's Arthur C. Clarke Page,Childhood's End,Childhood's End is a novel of the next step in the evolution of Man. It is compounded of intellectual daring and vaulting imagination -- a book in the great tradition of the novel of ideas. It tells of a world made perfect and a race transformed -- and of the unexpected tragedy of perfection.,I read this 40 years ago my fresman year in college. Just as good this time.,Just as good this time
29.99,2015.0,3.0,Literature & Fiction > Genre Fiction,True,Visit Amazon's Neil Gaiman Page,The Ocean at the End of the Lane CD: A Novel,"‘Spooky, beautiful, and magical, <I>Ocean<I> will stay with listeners for a long time. (AudioFile Magazine on THE OCEAN AT THE END OF THE LANE)",okay not really something Id read again. I think this might have been a short story from the bottom of his pile.,Short and sweet
12.05,1916.0,1.0,Literature & Fiction > Genre Fiction,True,Visit Amazon's James Patterson Page,Private London. James Patterson & Mark Pearson,Private London,A VERY GOOD AND EXCITING ACTION PACKED BOOK. IT KEPT YOUR RAPT ATTENTION WONDERING  WHAT WAS GOING TO HAPPEN NEXT,VERY GOOD AND EXCITING
18.59,2315.0,5.0,"Crafts, Hobbies & Home > Crafts & Hobbies",True,Visit Amazon's Sue Whiting Page,Ribbon Embroidery (The Anchor Book),the book has step-by-step diagrams,"I do love this little book. Lots of great ideas and the instructions are great, making them easy to produce. Photos are great. Great addition to an embroidery library.",Love  it
7.99,2192.0,4.0,"Mystery, Thriller & Suspense > Thrillers & Suspense",True,Visit Amazon's John Sandford Page,The Fool's Run (Kidd),"Fast-paced action, high-intellect puzzle-solving, dandy charactersIf you start guessing outcomes, you are fooled.<b>Minneapolis Star & Tribune</b>","I really like this author and his novels, which keep me reading sometimes right through the night. He will keep any reader spellbound if they like very good novels!!  James R Palmer",The Fools Run by Kaplan
20.21,2393.0,5.0,Business & Money > Business Culture,True,Visit Amazon's Marlene Chism Page,"Stop Workplace Drama: Train Your Team to have No Complaints, No Excuses, and No Regrets",<b>Stop putting fuel on the fire and take back control of yourworkplace</b>,"This book provides much insight to how to stop workplace drama.  Also, many resources provided to guide you in you walk in stopping workplace drama.",Very helpful.  A must read for a manager.
11.61,2411.0,5.0,History > World,True,Visit Amazon's A. Kenneth Curtis Page,The 100 Most Important Events in Christian History,"<b>J. Stephen Lang</b> is the author of nearly thirty books, including the extremely successful <i>Complete Book of Bible Trivia</i>, which has sold over 600,000 copies.",great,Five Stars
9.59,2327.0,5.0,"Mystery, Thriller & Suspense > Thrillers & Suspense",True,Visit Amazon's Jason Matthews Page,Red Sparrow: A Novel,"""All the tradecraft and cat-and-mouse tension ofa classic spy thriller-- a terrific read.""","I enjoy espionage novels. Red Sparrow is a good read, didn't want to put it down. The author earned a 5 star rating.",A Thriller
15.68,1067.0,4.0,"Cookbooks, Food & Wine > Entertaining & Holidays",True,Better Homes and Gardens,Best of Christmas Ideas (Better Homes and Gardens Cooking),<b>Deck the halls with tons of ideas and projects that help make the season bright</b>,I like the book and find it useful. It offers simple ideas that can be varied in many ways. I looked for Xmas ideas that could help me organise inspiring pre-Christmas period with my 3-year old son. It helps.,Interesting and simple ideas
19.76,2474.0,1.0,Arts & Photography > Graphic Design,True,Nicky Hilton,365 Style,"Nicky Hilton is an international style icon, model, and designer. A respected expert of style and fashion, Nicky has been a red carpet correspondent at the Oscars, and served as a guest judge on <em>Project Runway</em>.","Not worth the money, I was expecting this book to tell me which pieces would be best to have in my wardrobe, but all she talked about was herself.",Not what I was expecting....worse
22.5,1806.0,5.0,Politics & Social Sciences > Philosophy,True,Visit Amazon's Lao Tzu Page,The Tao Te Ching: An Illustrated Journey,"""Beautiful and accessible; the English, as 'fluid as melting ice,' is a joy to read throughout."" -- <i>-- <i>The New Republic</i></i><br /><br />","Speaking as one new to studies on the topic, I find the book speaking volumes in so few words.  The translator's notes and introduction are honest and well thought.",Beautifully Simple and Elegant
16.1,2741.0,5.0,Children's Books > Growing Up & Facts of Life,True,Visit Amazon's Nancy Tillman Page,"It's Time to Sleep, My Love","Bestselling children's writer and illustrator Nancy Tillman creates a comforting bedtime story with gorgeous illustrations of animals settling down for the night. Like all of Tillman's children's books, <em>It's Time to Sleep, My Love</em> ends with the words, ""You are loved.""","Arrived quick, as expected",Five Stars
22.98,2776.0,5.0,Literature & Fiction > Action & Adventure,True,Visit Amazon's Michael Koryta Page,Those Who Wish Me Dead,Title: Those Who Wish Me Dead <>Binding: Hardcover <>Author: MichaelKoryta <>Publisher: LittleBrownandCompany,"Starts out slow, however picks up quickly to be very suspenseful as well as compelling. Loved the discription of the Beartooth Pass and the road! it is exactly as described.",Loved the discription of the Beartooth Pass and the road
10.75,2792.0,4.0,Literature & Fiction > Contemporary,True,Visit Amazon's Paulo Coelho Page,The Alchemist,"Book by Coelho, Paulo",Some people spend their time  chasing  their dreams and never finding them.  Happy people  are content  with  what  they have.,Follow  a  dream.
12.45,2515.0,5.0,Christian Books & Bibles > Theology,True,Visit Amazon's Joshua Wise Page,Past the Sky's Rim: The Elder Scrolls and Theology,"Joshua Wise is a PhD student of Systematic Theology at The Catholic University of America, has an MA in Systematic Theology from Lutheran Theological Seminary in Philadelphia, a BA in Biblical Studies from Eastern University. He can be found on twitter at @JoshuaWWise.",For a game series that has generated a billion dollars it is very limited in background books and supplements.  Glad this was there.,Glad this was there
10.99,2148.0,3.0,Romance > Contemporary,False,Visit Amazon's Autumn Doughton Page,In This Moment,"Avocado-eater. Dog Lover. Bibliophile. In addition to these things, Autumn Doughton is the Amazon Bestselling author of young adult and new adult fiction. She lives in Gainesville, Florida with her husband, two daughters and way too many animals.","it was and easy readable book, although predictable, I will probably read more books by this author
I like it",good book
